taxa,states,model,LnL,AIC,d,e,j
all,impossible,DEC,-274.85788396873096,553.7157679374619,0.010966956205543402,0.020832518623458623,0
all,impossible,DEC+J,-258.35606520341213,522.7121304068243,0.006817546462901801,0.004040330397316565,0.01587127828874842
all,unlikely,DEC,-275.36552909199844,554.7310581839969,0.01864779334888285,0.022971517170987516,0
all,unlikely,DEC+J,-244.800586873866,495.601173747732,0.01192091994294606,0.0025649149589117,0.016666849602792112
fossil,impossible,DEC,-139.345099571433,282.690199142866,0.01,0.01,0
fossil,impossible,DEC+J,-119.13485031753754,244.26970063507508,0.0018390215329694975,0.008303426311013508,0.012761725105200544
fossil,unlikely,DEC,-145.2181043478544,294.4362086957088,0.012652331792671249,0.03529296356162451,0
fossil,unlikely,DEC+J,-117.68093623173418,241.36187246346836,0.0034242508348913377,0.006752799261052956,0.013326859326639403
extant,impossible,DEC,-134.03296384945207,272.06592769890415,0.01411115600763993,0.001116927996601784,0
extant,impossible,DEC+J,-129.4880617377572,264.9761234755144,0.011737856304819622,9.999999960041972e-13,0.031850582125423355
extant,unlikely,DEC,-125.43099730113939,254.86199460227877,0.02171569867184851,1e-12,0
extant,unlikely,DEC+J,-121.45697445471069,248.91394890942138,0.018680039189705604,1e-12,0.030712692173102314
