Taxon,Group
Acrophoca_longirostris,Monachinae
Aivukus_cedrosensis,Odobenidae
Allodesmus_demerei,Desmatophocidae
Allodesmus_kernensis,Desmatophocidae
Allodesmus_naorai,Desmatophocidae
Allodesmus_packardi,Desmatophocidae
Allodesmus_sinanoensis,Desmatophocidae
Allodesmus_sp_cf_sadoensis,Desmatophocidae
Allodesmus_uraiporensis,Desmatophocidae
Archaeodobenus_akamatsui,Odobenidae
Arctocephalus_australis,Otariidae
Arctocephalus_forsteri,Otariidae
Arctocephalus_galapagoensis,Otariidae
Arctocephalus_gazella,Otariidae
Arctocephalus_philippii,Otariidae
Arctocephalus_pusillus,Otariidae
Arctocephalus_townsendi,Otariidae
Arctocephalus_tropicalis,Otariidae
Australophoca_changorum,Monachinae
Callorhinus_gilmorei,Otariidae
Callorhinus_ursinus,Otariidae
Cystophora_cristata,Phocinae
Desmatophoca_brachycephala,Desmatophocidae
Desmatophoca_oregonensis,Desmatophocidae
Devinophoca_claytoni,Devinophocinae
Devinophoca_emryi,Devinophocinae
Dusignathus_santacruzensis,Odobenidae
Dusignathus_seftoni,Odobenidae
Enaliarctos_barnesi,Stem
Enaliarctos_emlongi,Stem
Enaliarctos_mealsi,Stem
Enaliarctos_mitchelli,Stem
Enaliarctos_tedfordi,Stem
Eodesmus_condoni,Desmatophocidae
Eomonachus_belegaerensis,Monachinae
Eotaria_citrica,Otariidae
Eotaria_crypta,Otariidae
Erignathus_barbatus,Phocinae
Eumetopias_jubatus,Otariidae
Frisiphoca_aberratum,Monachinae
Frisiphoca_affine,Monachinae
Gomphotaria_pugnax,Odobenidae
Hadrokirus_martini,Monachinae
Halichoerus_grypus,Phocinae
Histriophoca_fasciata,Phocinae
Homiphoca_capensis,Monachinae
Homiphoca_sp_SAM_PQL_30080,Monachinae
Homiphoca_sp_SAM_PQL_30568,Monachinae
Homiphoca_sp_SAM_PQL_31976,Monachinae
Homiphoca_sp_SAM_PQL_32101,Monachinae
Homiphoca_sp_SAM_PQL_32415,Monachinae
Hydrarctos_lomasiensis,Otariidae
Hydrurga_leptonyx,Monachinae
Imagotaria_downsi,Odobenidae
Kamtschatarctos_sinelnikovae,Odobenidae
Kawas_benegasorum,Monachinae
Leptonychotes_weddellii,Monachinae
Leptophoca_proxima,Monachinae
Lobodon_carcinophaga,Monachinae
Mirounga_angustirostris,Monachinae
Mirounga_leonina,Monachinae
Monachini_indet_NMVP160399,Monachinae
Monachus_monachus,Monachinae
Nanophoca_vitulinoides,Phocinae
Neomonachus_schauinslandi,Monachinae
Neomonachus_tropicalis,Monachinae
Neophoca_cinerea,Otariidae
Neophoca_palatina,Otariidae
Neotherium_mirum,Odobenidae
Noriphoca_gaudini,Monachinae
Odobenidae_gen_et_spec_indet_LACM_13592,Odobenidae
Odobenus_rosmarus,Odobenidae
Ommatophoca_rossii,Monachinae
Ontocetus_emmonsi,Odobenidae
Osodobenus_eodon,Odobenidae
Otaria_byronia,Otariidae
Pagophilus_groenlandica,Phocinae
Pelagiarctos_sp_SDNHM_131041,Otariidae
Pelagiarctos_thomasi,Otariidae
Phoca_largha,Phocinae
Phoca_vitulina,Phocinae
Phocarctos_hookeri,Otariidae
Pinnarctidion_bishopi,Stem
Pinnarctidion_iverseni,Stem
Pinnarctidion_rayi,Stem
Piscophoca_pacifica,Monachinae
Pliopedia_pacifica,Odobenidae
Pliophoca_etrusca,Monachinae
Pontolis_barroni,Odobenidae
Pontolis_kohnoi,Odobenidae
Pontolis_magnus,Odobenidae
Potamotherium_vallentoni,Stem
Praepusa_boeska,Phocinae
Praepusa_magyaricus,Phocinae
Praepusa_pannonica,Phocinae
Praepusa_vindobonensis,Phocinae
Proneotherium_repenningi,Odobenidae
Properiptychus_argentinus,Monachinae
Proterozetes_ulysses,Otariidae
Protodobenus_japonicus,Odobenidae
Prototaria_planicephala,Odobenidae
Prototaria_primigena,Odobenidae
Pseudotaria_muramotoi,Odobenidae
Pteronarctos_goedertae,Stem
Puijila_darwini,Stem
Pusa_caspica,Phocinae
Pusa_hispida,Phocinae
Pusa_sibirica,Phocinae
Sarcodectes_magnus,Monachinae
Thalassoleon_inouei,Otariidae
Thalassoleon_macnallyae,Otariidae
Thalassoleon_mexicanus,Otariidae
Titanotaria_orangensis,Odobenidae
Valenictus_chulavistensis,Odobenidae
Zalophus_californianus,Otariidae
Zalophus_japonicus,Otariidae
Zalophus_wollebaeki,Otariidae
cf_Miroungini_indet_CD35,Monachinae
cf_Thalassoleon,Otariidae
Pliophoca_etrusca_USNM_171221_et_181419_et_181504_et_187580_et_243697_et_250290_et_254327_et_34734,Monachinae
Pliophoca_etrusca_USNM,Monachinae
Homiphoca_sp,Monachinae
Monachini_indet_NMVP160399,Monachinae
Monachini_indet,Monachinae
cf_Miroungini_indet_CD35,Monachinae
cf_Miroungini_indet,Monachinae
Phocidae_aff_Homiphoca_capensis_USNM,Monachinae
aff_Homiphoca_capensis,Monachinae
Desmatophocidae_indet_USNM_335445,Desmatophocidae
Desmatophocidae_indet,Desmatophocidae
Odobenidae_gen_et_spec_indet_LACM_135920,Odobenidae
Odobenidae_indet,Odobenidae
Pelagiarctos_sp_SDNHM_131041,Otariidae
Pelagiarctos_sp,Otariidae
Atopotarus_courseni,Desmatophocidae
Pithanotaria_starri,Otariidae
Pontolis_cf,Odobenidae
