generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.410281,-0.0486059,0.216991,0
10000,Valenictus_chulavistensis,Pontolis_magnus,19.2745,0.759133,0.0424673,0.890107,0
20000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.626523,-0.0799057,0.280697,0
20000,Valenictus_chulavistensis,Pontolis_magnus,18.5233,0.718738,0.011342,0.525037,0
30000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.322992,-0.0365536,0.199455,0
30000,Valenictus_chulavistensis,Pontolis_magnus,18.3241,0.948381,-0.0559869,0.458073,0
40000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.341153,-0.0493858,0.202712,0
40000,Valenictus_chulavistensis,Pontolis_magnus,18.8562,0.819493,0.0464343,0.81372,0
50000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.457116,-0.0635434,0.250638,0
50000,Valenictus_chulavistensis,Pontolis_magnus,18.5127,0.551734,0.00976947,0.773207,0
60000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.226017,-0.0256046,0.191583,0
60000,Valenictus_chulavistensis,Pontolis_magnus,19.0885,0.814328,-0.062996,0.974069,0
60000,Pliophoca_etrusca,Enaliarctos_tedfordi,0.572263,0.528576,-0.0530439,0.219473,0
70000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.545509,-0.0517582,0.18325,0
70000,Valenictus_chulavistensis,Pontolis_magnus,18.9769,0.590564,-0.0331052,0.602826,0
80000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.490536,-0.0537364,0.192652,0
80000,Valenictus_chulavistensis,Pontolis_barroni,20.0663,1.04676,0.00947473,0.922162,0
90000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.819881,-0.112061,0.153228,0
90000,Valenictus_chulavistensis,Pontolis_magnus,18.734,0.833497,9.47418e-05,0.85035,0
100000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.488857,-0.0515619,0.19536,0
100000,Valenictus_chulavistensis,Pontolis_magnus,19.0128,0.454206,0.0453206,0.60219,0
110000,Pliophoca_etrusca,Potamotherium_vallentoni,0,0.598222,-0.0826676,0.16708,0
110000,Allodesmus_demerei,Allodesmus_uraiporensis,12.0441,0.810762,-0.0162478,0.737582,0
110000,Valenictus_chulavistensis,Pontolis_barroni,20.1715,0.459261,0.0222444,0.548427,0
110000,Valenictus_chulavistensis,Titanotaria_orangensis,14.3662,0.0154443,-0.0123514,0.0702273,0
110000,Valenictus_chulavistensis,Titanotaria_orangensis,16.2776,0.181776,0.064744,0.297017,0
110000,Valenictus_chulavistensis,Pelagiarctos_sp_SDNHM_131041,13.5638,0.95009,0.0154499,1.95079,0
