generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.328096,-0.0402278,0.0872828,0
10000,Odobenus_rosmarus,Pontolis_magnus,17.1849,0.396738,-0.0107944,0.395391,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.536486,-0.0544145,0.118946,0
20000,Odobenus_rosmarus,Pontolis_magnus,19.2984,0.374395,-0.0383288,0.648653,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.455894,-0.0499832,0.136222,0
30000,Arctocephalus_australis,Pithanotaria_starri,15.6818,0.362286,-0.0389426,0.0749867,0
30000,Odobenus_rosmarus,Pontolis_magnus,17.8616,0.54613,0.0025759,0.548049,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.279592,-0.0281382,0.0973942,0
40000,Odobenus_rosmarus,Dusignathus_seftoni,22.0522,0.707668,0.0303555,0.734293,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.359661,-0.0402187,0.121393,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.392174,-0.0368,0.139913,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.205045,-0.0183113,0.0832046,0
70000,Odobenus_rosmarus,Pontolis_magnus,18.7304,0.484058,-0.0266994,0.667682,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.397498,-0.0452914,0.127713,0
80000,Arctocephalus_australis,Otaria_byronia,22.214,0.140517,-0.0304654,0.0156741,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.250393,-0.025043,0.13048,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.391694,-0.0466725,0.079776,0
100000,Allodesmus_demerei,Desmatophocidae_indet_USNM_335445,5.95618,0.284616,-0.0466871,0.212848,0
100000,Odobenus_rosmarus,Archaeodobenus_akamatsui,13.0758,0.375661,0.0189004,0.39265,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.368816,-0.0370729,0.0848367,0
110000,Odobenus_rosmarus,Pontolis_magnus,19.2264,0.706993,-0.00669352,0.547955,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.282113,-0.0395679,0.121013,0
120000,Odobenus_rosmarus,Pontolis_magnus,18.4558,0.528965,-0.018487,0.322655,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.247981,-0.00771053,0.122673,0
130000,Odobenus_rosmarus,Pontolis_magnus,17.8234,0.480655,-0.0254631,0.416119,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.201774,-0.00715823,0.101661,0
140000,Odobenus_rosmarus,Imagotaria_downsi,19.4679,0.906658,-0.0309726,0.510965,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.413331,-0.052333,0.104317,0
150000,Odobenus_rosmarus,Pontolis_magnus,17.6582,0.506221,0.0202187,0.32046,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.248756,-0.0248139,0.107522,0
160000,Odobenus_rosmarus,Pontolis_magnus,18.4391,0.305663,0.0431421,0.213959,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.312032,-0.0259431,0.123166,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.353236,-0.0398222,0.11919,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.139639,0.0234437,0.42355,0
190000,Hydrurga_leptonyx,Pteronarctos_goedertae,3.78257,0.324071,-0.0383944,0.118834,0
200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.398025,-0.0402317,0.0940688,0
210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.256059,-0.0306872,0.118421,0
220000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.51538,-0.0651763,0.138052,0
220000,Allodesmus_demerei,Desmatophoca_brachycephala,6.70439,0.582716,-0.0436366,0.41836,0
220000,Arctocephalus_australis,Zalophus_californianus,20.5588,0.214457,-0.0101047,0.00973197,0
220000,Odobenus_rosmarus,Imagotaria_downsi,19.5073,0.198628,0.0725135,0.327227,0
230000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.258736,-0.0269223,0.128883,0
230000,Odobenus_rosmarus,Pontolis_magnus,18.8916,0.998911,-0.0482189,0.710011,0
240000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.199211,-0.0118605,0.111227,0
240000,Odobenus_rosmarus,Pontolis_magnus,19.1711,0.573367,0.00184032,0.285451,0
250000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.263757,-0.0240132,0.112725,0
260000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.28535,-0.0236686,0.130552,0
