generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.44989,-0.0445142,0.112772,0
10000,Arctocephalus_australis,Zalophus_californianus,21.1789,0.239511,-0.0130402,0.00122365,0
10000,Odobenus_rosmarus,Pontolis_magnus,17.6014,0.31877,-0.00677733,0.487949,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.419678,-0.0373911,0.120527,0
20000,Odobenus_rosmarus,Pontolis_magnus,17.9019,0.56179,-0.0249488,0.521603,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.35656,-0.0488769,0.140566,0
30000,Arctocephalus_australis,Zalophus_californianus,20.2015,0.331859,-0.0123685,0.0612004,0
30000,Odobenus_rosmarus,Pontolis_magnus,17.2528,0.233676,0.0223064,0.443601,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.446078,-0.0643247,0.164911,0
40000,Hydrurga_leptonyx,Mirounga_angustirostris,21.697,2.0296,-0.0522754,0.387108,0
40000,Hydrurga_leptonyx,Mirounga_angustirostris,21.7342,0.187758,-0.0102778,0.10075,0
40000,Pusa_caspica,Phoca_largha,25.3394,0.250001,-0.0100249,0.00504435,0
40000,Arctocephalus_australis,Zalophus_californianus,20.8507,0.255863,-0.032872,0.0789355,0
40000,Odobenus_rosmarus,Pontolis_kohnoi,20.7198,0.828767,-0.024484,0.537282,0
40000,Arctocephalus_australis,Odobenus_rosmarus,8.45353,0.315905,-0.0711781,0.11265,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.504436,-0.0598762,0.118982,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.36955,-0.0540143,0.15872,0
60000,Hydrurga_leptonyx,Pusa_caspica,6.93245,0.212952,-0.0202145,0.0992788,0
60000,Arctocephalus_australis,Zalophus_californianus,20.574,0.18938,0.00771595,0.0646645,0
60000,Odobenus_rosmarus,Pontolis_kohnoi,19.7282,0.607518,0.0155449,0.48842,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.342669,-0.0372366,0.126313,0
70000,Arctocephalus_australis,Otaria_byronia,22.5176,0.115649,0.0171354,0.0407982,0
70000,Odobenus_rosmarus,Pontolis_magnus,19.0763,0.580617,-0.0141577,0.41975,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.350489,-0.0431723,0.0712338,0
80000,Odobenus_rosmarus,Odobenidae_gen_et_spec_indet_LACM_135920,8.64288,0.386467,-0.0328609,0.267476,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.409665,-0.0519594,0.110765,0
90000,Odobenus_rosmarus,Pontolis_magnus,19.1725,0.392113,-0.0173034,0.291784,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.268173,-0.0318545,0.0697926,0
100000,Odobenus_rosmarus,Odobenidae_gen_et_spec_indet_LACM_135920,9.55874,0.408862,-0.0568266,0.243441,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.154888,-0.0106716,0.321791,0
110000,Arctocephalus_australis,Otaria_byronia,21.7425,0.284795,-0.050807,0.142754,0
110000,Hydrurga_leptonyx,Enaliarctos_emlongi,0.97205,0.240006,-0.0153454,0.141605,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.345725,-0.0574095,0.126418,0
120000,Hydrurga_leptonyx,Pliophoca_etrusca_USNM_171221_et_181419_et_181504_et_187580_et_243697_et_250290_et_254327_et_34734,18.4042,0.111032,0.0295068,0.0686072,0
120000,Pusa_caspica,Phoca_largha,23.1278,0.361698,0.0195449,0.162588,0
120000,Arctocephalus_australis,Callorhinus_gilmorei,18.763,0.283492,-0.0327714,0.077736,0
120000,Odobenus_rosmarus,Pontolis_magnus,18.1641,0.400586,-0.0411635,0.353253,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.287616,-0.0204123,0.10896,0
130000,Odobenus_rosmarus,Titanotaria_orangensis,15.1353,1.0381,-0.111473,0.324084,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.344328,-0.045559,0.120318,0
140000,Odobenus_rosmarus,Pelagiarctos_sp_SDNHM_131041,13.2597,0.815062,-0.0696773,0.374598,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.2436,-0.0268266,0.0759944,0
150000,Allodesmus_demerei,Desmatophoca_brachycephala,6.84947,0.423481,-0.042472,0.248203,0
150000,Odobenus_rosmarus,Pontolis_magnus,19.3109,0.507915,-0.0120125,0.406545,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.529617,-0.0557619,0.125277,0
160000,Odobenus_rosmarus,Osodobenus_eodon,20.9666,0.401589,-0.0453293,1.0872,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.242493,-0.0251833,0.129756,0
170000,Arctocephalus_australis,Zalophus_californianus,20.3503,0.191469,0.0196715,0.0521427,0
170000,Odobenus_rosmarus,Pontolis_magnus,17.782,0.180244,-0.00574209,0.517157,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.271627,-0.0292091,0.157838,0
180000,Pusa_caspica,Cystophora_cristata,15.9264,0.171444,0.0902422,0.0263554,0
180000,Hydrurga_leptonyx,Pusa_caspica,7.01147,0.207439,-0.0379528,0.0482921,0
180000,Hydrurga_leptonyx,Homiphoca_capensis,10.8306,0.100593,0.0815781,0.134738,0
180000,Odobenus_rosmarus,Titanotaria_orangensis,15.8311,0.278314,0.00718791,0.108061,0
180000,Odobenus_rosmarus,Pontolis_magnus,18.7325,0.722587,-0.0311898,0.510673,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.411741,-0.0549835,0.125651,0
190000,Arctocephalus_australis,Zalophus_californianus,20.5729,0.233874,0.021494,0.0850897,0
190000,Odobenus_rosmarus,Odobenidae_gen_et_spec_indet_LACM_135920,9.87464,0.486632,-0.0187835,0.322186,0
190000,Odobenus_rosmarus,Odobenidae_gen_et_spec_indet_LACM_135920,9.26749,0.587942,0.046575,0.522356,0
200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.425499,-0.0844599,0.148017,0
200000,Pusa_caspica,Phoca_largha,23.7074,0.23806,-0.0279402,0.0605859,0
200000,Pusa_caspica,Erignathus_barbatus,14.2033,0.146007,-0.0648297,0.0265274,0
200000,Hydrurga_leptonyx,Mirounga_angustirostris,20.3995,0.273731,-0.01223,0.0154933,0
200000,Arctocephalus_australis,Zalophus_californianus,20.2403,0.389469,-0.0195046,0.00911454,0
200000,Odobenus_rosmarus,Pelagiarctos_sp_SDNHM_131041,13.5008,0.595645,-0.0327903,0.423662,0
210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.449621,-0.0539877,0.102652,0
210000,Pusa_caspica,Phoca_largha,24.8994,0.150286,0.0009432,0.130398,0
210000,Odobenus_rosmarus,Pontolis_magnus,17.4108,0.655105,0.0439047,0.497755,0
210000,Odobenus_rosmarus,Titanotaria_orangensis,16.8476,0.0705083,-0.0114396,0.166491,0
210000,Odobenus_rosmarus,Osodobenus_eodon,21.0076,0.557257,-0.0293989,1.03127,0
220000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.334057,-0.0479425,0.172774,0
220000,Pusa_caspica,Cystophora_cristata,15.6911,0.187948,0.0106095,0.06318,0
220000,Arctocephalus_australis,Zalophus_californianus,20.9477,0.270649,-0.0624409,0.0537445,0
220000,Odobenus_rosmarus,Pontolis_magnus,18.977,0.260204,-0.0197122,0.248607,0
230000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.296387,-0.0336828,0.103072,0
230000,Pusa_caspica,Cystophora_cristata,19.3128,0.287987,-0.0334797,0.00396697,0
230000,Odobenus_rosmarus,Titanotaria_orangensis,16.2348,0.281784,-0.031746,0.427265,0
230000,Odobenus_rosmarus,Pelagiarctos_sp_SDNHM_131041,13.6014,0.288505,0.0427104,0.202349,0
240000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.275313,-0.0427456,0.105608,0
240000,Pusa_caspica,Phoca_largha,26.1143,0.740172,0.0317326,0.0459048,0
240000,Odobenus_rosmarus,Titanotaria_orangensis,16.5881,0.711657,-0.0771043,0.305151,0
250000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.271287,-0.0355079,0.126667,0
250000,Odobenus_rosmarus,Pontolis_kohnoi,20.347,0.504476,-0.0221062,0.512952,0
250000,Hydrurga_leptonyx,Enaliarctos_emlongi,1.51084,0.375355,-0.0361486,0.104663,0
260000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.555389,-0.0753585,0.146449,0
260000,Arctocephalus_australis,Callorhinus_gilmorei,18.1665,0.15445,-0.0318729,0.023438,0
260000,Odobenus_rosmarus,Pontolis_magnus,18.8414,0.379498,0.0475913,0.290474,0
270000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.222993,-0.0257621,0.0687135,0
270000,Allodesmus_demerei,Atopotarus_courseni,9.88969,0.535246,-0.0639802,0.503594,0
270000,Odobenus_rosmarus,Pontolis_kohnoi,19.7066,0.364627,0.0255633,0.441893,0
280000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.281889,-0.051076,0.17041,0
280000,Hydrurga_leptonyx,Pliophoca_etrusca_USNM_171221_et_181419_et_181504_et_187580_et_243697_et_250290_et_254327_et_34734,17.0638,0.33531,-0.0206333,0.0307329,0
280000,Pusa_caspica,Erignathus_barbatus,14.2593,0.136531,0.0456589,0.0235505,0
280000,Arctocephalus_australis,Callorhinus_gilmorei,19.0159,0.231889,0.0150378,0.024361,0
280000,Odobenus_rosmarus,Osodobenus_eodon,21.0839,0.651448,0.0472168,0.28694,0
290000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.403109,-0.064059,0.10405,0
290000,Pusa_caspica,Cystophora_cristata,19.7469,0.263572,-0.013576,0.0052942,0
290000,Arctocephalus_australis,Zalophus_californianus,21.1516,0.191518,-0.0090486,0.0189812,0
290000,Odobenus_rosmarus,Pontolis_kohnoi,20.0698,0.555241,-0.0216391,0.36409,0
300000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.306188,-0.054654,0.104765,0
