generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1.29395,-3343.78,10,0.1,0
10000,2,0.793946,-714.565,1.35085,2.15049,0.355
20000,1,-1.11358,-718.876,0.192419,2.22727,0.399
30000,2,0.565715,-711.501,1.56767,2.126,0.422
40000,6,-1.10485,-707.701,8.70891,2.20521,0.435
50000,0,-2.33536,-726.537,0.864123,2.25369,0.233
60000,3,1.42429,-707.959,3.00268,2.07931,0.391
70000,2,0.761912,-713.386,2.4537,2.14326,0.4
80000,1,-0.656725,-717.993,0.3777,2.09933,0.342667
90000,1,-0.961973,-716.25,1.45288,2.20077,0.447
100000,1,-1.25087,-718.655,3.40292,2.04632,0.380667
110000,2,0.531938,-721.365,6.1933,2.08379,0.432667
120000,4,1.96764,-705.101,5.09615,2.16903,0.408
130000,1,-4.83258,-718.259,1.26501,2.15784,0.389333
140000,1,-2.79074,-717.033,1.00652,2.18992,0.364
150000,2,-0.0532232,-713.078,4.19527,2.19763,0.382778
160000,1,-3.16275,-724.742,3.45962,2.01358,0.358
170000,2,1.28343,-713.899,4.22896,2.11177,0.392
180000,5,-0.294051,-711.359,7.9068,2.05004,0.437
190000,3,-0.335692,-713.885,4.88423,2.16184,0.41
200000,5,1.24619,-699.92,6.20763,2.01916,0.38295
210000,4,0.410495,-719.329,4.05465,2.08231,0.426
220000,3,1.1051,-709.676,4.87521,1.99622,0.42575
230000,3,1.20876,-712.082,4.73017,2.09146,0.407
240000,2,-2.23657,-715.757,2.8079,2.19927,0.366364
250000,2,-0.0461648,-717.048,3.04124,2.1858,0.417
260000,2,-1.2872,-716.035,1.62341,2.2161,0.386
270000,2,-1.20297,-719.854,3.77938,2.04692,0.397
280000,4,2.48581,-707.409,0.752476,2.10491,0.393976
290000,3,1.38992,-705.245,3.50368,2.10562,0.417
300000,4,0.96107,-711.285,7.2803,2.17624,0.4256
310000,5,-1.00629,-704.412,8.22193,2.03446,0.403
320000,1,-2.06155,-718.479,2.45113,2.04507,0.366
330000,3,1.50658,-712.323,4.87306,2.13835,0.422667
340000,3,-0.589011,-708.378,2.92719,2.12786,0.358
350000,1,0.234701,-719.118,1.00492,2.09037,0.39425
360000,1,-0.526056,-715.869,0.932198,2.1649,0.368
370000,2,-0.745677,-712.147,3.39423,2.12853,0.41
380000,2,-2.33419,-715.906,2.78991,2.12219,0.375
390000,1,-3.48851,-719.937,0.234265,2.03278,0.351444
400000,1,0.335659,-716.74,1.51989,2.10675,0.30775
410000,5,-2.93814,-702.184,6.94004,2.08553,0.434867
420000,1,0.342729,-717.096,1.233,2.12023,0.354
430000,3,0.825725,-719.335,4.17748,2.24009,0.447
