generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,5.72179,-3514.54,0.01,0.1,0
10000,1,4.69996,-813.104,0.0137209,2.16592,0.33
20000,1,1.93241,-812.783,0.0258884,2.21971,0.343667
30000,1,4.97543,-812.618,0.0102878,2.08061,0.37
40000,1,3.48028,-812.501,0.00975,2.04154,0.356571
50000,1,2.25192,-813.318,0.0297057,2.13619,0.354385
60000,1,0.661288,-812.299,0.0414028,2.13204,0.349
70000,1,2.90448,-812.931,0.0290896,2.04026,0.345
80000,1,4.54707,-814.364,0.00781419,2.12592,0.334
90000,1,0.286773,-816.497,0.0517892,1.86535,0.353
100000,1,-0.160824,-810.702,0.0415918,2.0586,0.34
110000,1,1.8372,-812.69,0.0328266,2.0103,0.349
120000,1,3.10605,-813.285,0.0306827,2.09685,0.351333
130000,1,5.06196,-812.054,0.00801778,2.03154,0.313
140000,1,3.32803,-812.976,0.0056117,2.03259,0.302333
150000,1,5.22092,-813.201,0.00621628,2.13842,0.357
160000,1,2.61258,-815.284,0.0167071,1.91152,0.341
170000,1,2.80321,-812.214,0.0268387,2.04213,0.335
180000,1,3.36824,-814.436,0.0264184,1.98676,0.29
190000,1,1.47077,-810.095,0.0272092,2.09047,0.357
200000,1,4.36831,-816.758,0.0117212,1.99383,0.324667
210000,1,3.38656,-812.205,0.0185796,2.01754,0.36
220000,1,4.03064,-814.188,0.00519741,2.10808,0.352
230000,1,3.49293,-810.873,0.0084894,2.07714,0.34
240000,1,4.82606,-811.897,0.00999877,2.12292,0.346
250000,1,4.50505,-817.466,0.0014615,2.09735,0.35
260000,1,2.02886,-812.989,0.0265759,2.00704,0.357
270000,1,2.59529,-815.499,0.0224648,2.08033,0.351
280000,1,2.98113,-813.16,0.0265406,1.97618,0.36
290000,1,3.09661,-811.175,0.0174856,2.06392,0.3428
300000,1,2.06581,-810.656,0.0272906,2.04893,0.34
310000,1,2.68488,-810.825,0.0136543,2.04971,0.3395
320000,1,2.31347,-817.503,0.0314111,2.16444,0.292
330000,1,2.10601,-813.759,0.019822,2.18932,0.345
340000,0,4.79954,-826.886,0.00488184,2.12859,0.198667
350000,1,5.05326,-813.872,0.00939125,2.06934,0.325
360000,1,4.41904,-812.46,0.00789245,2.10279,0.35
370000,1,2.3422,-811.248,0.0360811,2.0452,0.32
380000,1,4.62154,-820.508,0.0170836,2.00142,0.342692
390000,1,3.25492,-811.539,0.027731,2.03441,0.36
400000,1,1.87691,-813.842,0.0294798,2.12308,0.3385
410000,1,4.67956,-811.931,0.00695865,2.06018,0.335
420000,1,1.23855,-816.19,0.0134374,2.17517,0.3646
430000,1,1.70228,-810.207,0.0200875,2.04104,0.36475
440000,1,2.19214,-810.585,0.0103675,2.13435,0.3402
450000,1,3.99837,-812.381,0.0200114,2.02329,0.336
460000,1,4.02069,-813.333,0.0104173,2.13516,0.355
470000,1,3.33517,-814.59,0.00619648,2.16899,0.331333
480000,1,1.77507,-813.952,0.0143864,2.07079,0.346
490000,1,1.97754,-814.044,0.029951,1.9646,0.316
500000,1,3.26559,-812.748,0.0132643,2.16599,0.345917
510000,1,0.940477,-812.588,0.0418798,2.06834,0.366
