generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.032,0,0.005,0
10000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.237348,-0.0154135,0.128753,0
10000,Valenictus_chulavistensis,Pontolis_magnus,16.9966,0.700463,0.0298681,0.415905,0
20000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.383196,-0.0389006,0.160807,0
20000,Valenictus_chulavistensis,Pontolis_magnus,18.4142,0.454799,0.0585616,1.24237,0
30000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.323138,-0.0294225,0.129536,0
30000,Valenictus_chulavistensis,Pseudotaria_muramotoi,11.7478,0.529267,-0.0468563,0.320994,0
40000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.549204,-0.0480084,0.173959,0
40000,Valenictus_chulavistensis,Pontolis_magnus,19.2664,0.924288,0.0172288,0.942502,0
50000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.398314,-0.0368919,0.150104,0
50000,Pusa_caspica,Cystophora_cristata,19.2948,0.228254,0.00797138,0.0762134,0
50000,Valenictus_chulavistensis,Pontolis_magnus,18.9427,0.696632,-0.0342938,0.501715,0
60000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.493734,-0.0400369,0.176391,0
60000,Valenictus_chulavistensis,Pontolis_magnus,18.6217,0.655428,-0.0405526,0.757163,0
70000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.418532,-0.0392814,0.151551,0
70000,Valenictus_chulavistensis,Pontolis_magnus,18.9925,0.573952,0.0515206,0.950625,0
80000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.402684,-0.0281187,0.160335,0
80000,Valenictus_chulavistensis,Pontolis_magnus,18.8487,0.627705,-0.0141599,0.530205,0
90000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.390141,-0.0356457,0.148956,0
90000,Valenictus_chulavistensis,Pontolis_magnus,18.0351,0.690651,0.0162015,0.868461,0
100000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.314871,-0.0261458,0.159205,0
100000,Pusa_caspica,Cystophora_cristata,18.3865,0.272848,-0.00617228,0.00685515,0
100000,Valenictus_chulavistensis,Pontolis_magnus,18.4239,0.913043,0.000423938,0.635061,0
110000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.384476,-0.0327054,0.157472,0
110000,Valenictus_chulavistensis,Pontolis_magnus,18.5382,0.729581,0.009155,0.655514,0
120000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.338497,-0.0217268,0.159901,0
120000,Valenictus_chulavistensis,Pontolis_barroni,20.2705,0.883886,-0.018911,0.924769,0
130000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.309275,-0.017059,0.130312,0
130000,Valenictus_chulavistensis,Prototaria_planicephala,10.6843,0.505983,-0.0125907,0.46989,0
140000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.507153,-0.0499134,0.15197,0
140000,Valenictus_chulavistensis,Titanotaria_orangensis,16.3413,0.65682,0.011232,0.662124,0
150000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.319605,-0.0285426,0.121448,0
150000,Allodesmus_demerei,Desmatophocidae_indet_USNM_335445,5.7144,0.500698,-0.00164882,0.42488,0
150000,Valenictus_chulavistensis,Pontolis_magnus,18.4748,0.655525,-0.00353492,0.615116,0
160000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.354101,-0.0356807,0.153023,0
160000,Valenictus_chulavistensis,Pontolis_magnus,17.0224,0.965831,0.0024429,0.681844,0
170000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.378952,-0.0316526,0.153359,0
170000,Valenictus_chulavistensis,Pontolis_magnus,18.4962,0.857978,-0.0145986,0.734116,0
180000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.452185,-0.0339528,0.138352,0
180000,Valenictus_chulavistensis,Pontolis_magnus,19.2328,0.771425,0.0431823,0.774149,0
190000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.521247,-0.0514598,0.168482,0
190000,Pusa_caspica,Cystophora_cristata,18.665,0.194688,0.0628057,0.0332674,0
190000,Valenictus_chulavistensis,Pontolis_magnus,18.6735,0.847843,-0.0576481,0.678076,0
200000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.509183,-0.0496094,0.150328,0
200000,Valenictus_chulavistensis,Pontolis_magnus,18.3832,0.660582,0.0211127,0.920668,0
210000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.394929,-0.0277647,0.186801,0
210000,Pusa_caspica,Cystophora_cristata,14.9267,0.432287,-0.0421602,0.064363,0
210000,Valenictus_chulavistensis,Pontolis_magnus,18.8557,0.67814,-0.0229897,0.804822,0
220000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.55316,-0.0670662,0.172024,0
220000,Pusa_caspica,Erignathus_barbatus,14.2669,0.172238,-0.0147613,0.0122866,0
220000,Arctocephalus_australis,Thalassoleon_macnallyae,17.6157,0.394113,-0.0213206,0.0824615,0
220000,Valenictus_chulavistensis,Pelagiarctos_sp_SDNHM_131041,13.602,0.681621,-0.00860923,0.613678,0
230000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.320151,-0.0218403,0.162814,0
230000,Valenictus_chulavistensis,Pontolis_magnus,16.9863,0.924668,0.00452376,0.685119,0
240000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.37888,-0.0403657,0.179498,0
240000,Valenictus_chulavistensis,Pontolis_barroni,20.0447,0.7309,0.0226003,0.781268,0
250000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.541645,-0.0494637,0.172379,0
250000,Valenictus_chulavistensis,Pontolis_magnus,19.2452,0.502761,-0.0491732,0.614115,0
260000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.298875,-0.0355919,0.157588,0
260000,Valenictus_chulavistensis,Pontolis_magnus,16.8918,0.814265,-0.0140682,0.875707,0
270000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.639209,-0.0531455,0.160408,0
270000,Valenictus_chulavistensis,Pontolis_magnus,17.9123,0.506884,0.0204549,0.724001,0
280000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.396478,-0.034052,0.130487,0
280000,Valenictus_chulavistensis,Pontolis_magnus,17.5007,1.01144,0.0172577,0.819119,0
290000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.546205,-0.0652146,0.129219,0
290000,Pusa_caspica,Phoca_largha,26.0153,0.419263,0.0638627,0.152037,0
290000,Arctocephalus_australis,Callorhinus_gilmorei,18.9617,0.417361,-0.0836485,0.103665,0
290000,Valenictus_chulavistensis,Pontolis_magnus,19.2364,0.521664,-0.00750323,0.549055,0
300000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.530749,-0.0486608,0.152352,0
300000,Valenictus_chulavistensis,Pontolis_magnus,18.2366,0.565468,0.0451907,0.767893,0
310000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.306561,-0.026546,0.138468,0
310000,Valenictus_chulavistensis,Pontolis_barroni,20.4395,0.821893,0.0781105,0.730533,0
320000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.32674,-0.0176994,0.221389,0
320000,Pusa_caspica,Cystophora_cristata,15.06,0.275066,-0.0224448,0.00973691,0
320000,Valenictus_chulavistensis,Pontolis_barroni,20.4123,0.976109,-0.0181028,1.09939,0
330000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.394287,-0.0259113,0.144181,0
330000,Valenictus_chulavistensis,Pontolis_magnus,18.6737,0.792488,-0.037647,0.885835,0
340000,Hydrurga_leptonyx,Potamotherium_vallentoni,0,0.589643,-0.0498577,0.183596,0
