generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1.18596,-3514.54,10,0.1,0
10000,2,-0.68005,-810.471,5.85195,2.05295,0.375
20000,1,-2.22631,-813.345,0.219431,2.10835,0.387
30000,2,-3.2617,-807.886,3.54458,2.09697,0.4
40000,7,-1.13929,-800.519,7.56519,2.07889,0.3982
50000,3,-3.16061,-801.052,1.33081,2.14833,0.406
60000,5,-2.7904,-801.315,5.66073,2.07351,0.4081
70000,5,2.08671,-800.764,8.00918,2.14443,0.421
80000,5,1.51478,-796.062,8.64758,2.10278,0.395
90000,2,-0.365426,-806.989,0.831055,2.12315,0.415
100000,2,-5.75998,-809.424,2.79978,2.0864,0.33325
110000,4,1.10771,-805.868,4.04179,2.08948,0.395
120000,5,0.0192413,-802.042,4.98681,2.10002,0.397667
130000,6,2.30218,-796.64,5.9875,2.14112,0.394
140000,3,-2.28294,-804.253,2.85412,2.11138,0.377
150000,7,1.88209,-802.621,6.26767,2.04107,0.42
160000,3,0.5316,-800.08,2.68254,2.10063,0.357
170000,6,0.133781,-799.995,11.0988,1.94589,0.433
180000,2,-1.0878,-807.376,2.40538,2.07491,0.386
190000,3,-1.29323,-801.48,6.34446,2.03796,0.405
200000,4,-4.36567,-798.516,3.32326,2.05993,0.413
210000,4,-1.78125,-798.209,5.89955,2.09706,0.417
220000,5,1.27217,-796.999,4.94835,2.0557,0.367
230000,1,-0.847247,-812.427,1.50168,2.10808,0.3645
240000,3,1.08083,-807.984,3.77942,1.96729,0.396
250000,3,-0.0453834,-802.146,3.30769,2.1089,0.372667
260000,2,-0.434221,-806.826,0.574584,2.1199,0.382667
270000,8,-0.83305,-805.318,7.99015,2.12547,0.429
280000,7,2.20536,-796.739,7.39906,2.0097,0.444
290000,7,-3.39017,-788.547,7.19961,2.09421,0.39775
300000,7,-3.74024,-795.042,7.42816,2.0289,0.405273
310000,6,3.14849,-798.668,8.38036,2.16103,0.418
320000,4,-0.409545,-797.099,4.20092,2.14536,0.379
330000,3,-0.178734,-808.839,4.26615,2.03312,0.391
340000,1,-1.78598,-812.061,0.184681,2.10016,0.38225
350000,4,1.07498,-804.08,3.93025,2.061,0.4
360000,2,-0.431879,-810.057,3.85776,1.95788,0.368667
370000,7,-0.201391,-797.324,8.30307,2.19748,0.415667
380000,6,0.869905,-805.017,6.76095,2.01731,0.416
390000,4,-0.976067,-808.632,2.16434,2.0005,0.424
400000,2,-3.77364,-808.755,3.93568,2.08371,0.4048
410000,4,0.285846,-797.135,5.60865,2.05866,0.409
420000,4,1.76696,-811.003,3.3661,2.08111,0.3879
430000,1,-2.43563,-812.066,0.809951,2.08731,0.34725
440000,2,-3.25133,-809.791,3.18441,2.04647,0.3612
450000,3,-0.0378983,-803.439,1.36544,2.10463,0.412
460000,4,-0.969712,-802.091,3.22597,2.09125,0.4144
470000,3,-0.312821,-799.299,2.99191,2.07987,0.412
480000,4,1.25167,-803.047,4.6201,2.07828,0.351
490000,4,3.13194,-800.086,2.77955,2.06963,0.383667
500000,5,-1.32856,-799.691,7.02195,2.2356,0.44
510000,5,2.48322,-801.454,3.58239,2.02342,0.4044
520000,1,-2.21222,-816.226,0.995353,2.08298,0.334
530000,4,-0.0314983,-804.271,4.988,2.09683,0.391
540000,5,-0.848292,-795.678,5.07543,2.11186,0.399
550000,2,-2.32452,-806.13,2.48201,2.02966,0.403
560000,4,-0.447517,-799.17,2.94922,2.21127,0.401333
570000,2,-0.733505,-810.051,1.11985,2.10625,0.397333
580000,3,-7.18105,-807.027,7.82871,2.12262,0.4046
590000,3,-1.27524,-805.246,3.42118,2.00797,0.399667
